,City,Lat,Lng,Max Temp,Humidity,cloudiness,Wind Speed,Country,Date
87,port alfred,-33.59,26.89,60.62,67,100,14.27,ZA,1604023551
88,pouebo,-20.4,164.57,81.95,56,92,10.45,NC,1604023995
89,mataura,-46.19,168.86,61.0,91,100,3.0,NZ,1604023995
90,seminole,28.71,-81.21,82.4,69,75,9.17,US,1604023865
91,xapuri,-10.65,-68.5,76.86,82,4,2.57,BR,1604023995
92,la romana,18.43,-68.97,77.0,94,75,6.02,DO,1604023874
93,saint-philippe,-21.36,55.77,69.8,60,75,13.87,RE,1604023821
94,evensk,61.95,159.23,23.81,84,92,5.3,RU,1604023995
95,nemuro,43.32,145.57,48.2,66,75,10.29,JP,1604023811
96,omboue,-1.57,9.26,74.89,92,95,0.47,GA,1604023996
97,ostrovnoy,68.05,39.51,36.97,93,100,11.25,RU,1604023813
98,odweyne,9.41,45.06,68.54,66,0,3.47,SO,1604023996
99,vostok,46.49,135.88,32.68,100,100,3.15,RU,1604023838
100,aasiaat,68.71,-52.87,17.67,95,100,5.93,GL,1604023996
101,vanimo,-2.67,141.3,77.43,88,100,6.02,PG,1604023996
102,muravlenko,63.79,74.52,14.38,97,91,3.24,RU,1604023997
103,mar del plata,-38.0,-57.56,48.99,87,0,7.72,AR,1604023730
104,nome,64.5,-165.41,27.0,68,1,3.76,US,1604023848
105,terrace,54.52,-128.6,39.13,84,100,2.82,CA,1604023997
106,ribeira grande,38.52,-28.7,67.64,84,100,7.81,PT,1604023831
107,biak,-0.91,122.88,86.11,63,79,5.01,ID,1604023997
108,bluff,-46.6,168.33,61.0,91,100,3.0,NZ,1604023808
109,kaitangata,-46.28,169.85,61.0,87,100,4.81,NZ,1604023832
110,lodja,-3.48,23.43,69.24,97,99,1.01,CD,1604023998
111,rehoboth,-23.32,17.08,62.56,60,0,6.76,NA,1604023998
112,sobolevo,54.43,31.9,45.03,87,100,6.04,RU,1604023998
113,bredasdorp,-34.53,20.04,51.8,62,12,5.82,ZA,1604023819
114,linxia,35.6,103.21,45.18,70,21,2.86,CN,1604023851
115,kodiak,57.79,-152.41,41.0,56,1,3.36,US,1604023568
116,borogontsy,62.67,131.17,-2.69,88,38,0.69,RU,1604023927
117,thompson,55.74,-97.86,23.2,98,88,5.32,CA,1604023812
118,gamba,-2.65,10.0,75.78,89,63,3.31,GA,1604023853
119,princeton,25.54,-80.41,81.0,88,1,5.37,US,1604023999
120,iqaluit,63.75,-68.51,4.44,90,0,8.97,CA,1604023860
121,ust-maya,60.42,134.53,6.04,91,55,2.42,RU,1604023999
122,cabo san lucas,22.89,-109.91,77.0,57,20,12.75,MX,1604023784
123,the valley,18.22,-63.06,84.2,74,40,11.41,AI,1604023811
124,faanui,-16.48,-151.75,80.22,79,0,9.98,PF,1604023878
125,eydhafushi,5.1,73.07,82.27,75,74,7.63,MV,1604023835
126,saint anthony,45.02,-93.22,32.0,68,1,2.15,US,1604023885
127,poum,-20.23,164.02,77.54,71,100,13.56,NC,1604023822
128,solnechnyy,50.72,136.63,39.04,71,99,2.37,RU,1604024000
129,severnyy,50.68,36.55,42.8,81,90,6.71,RU,1604024001
130,kununurra,-15.77,128.73,96.8,39,92,5.82,AU,1604023826
131,laguna,38.42,-121.42,68.0,37,1,2.8,US,1604023801
132,buala,-8.14,159.59,81.01,79,100,9.08,SB,1604023810
133,ancud,-41.87,-73.82,50.0,76,79,12.75,CL,1604023881
134,tucuma,-0.18,-50.05,79.88,83,52,8.43,BR,1604024002
135,makakilo city,21.35,-158.09,84.2,61,90,11.41,US,1604024002
136,tessalit,20.2,1.01,73.26,20,0,5.28,ML,1604024002
137,severo-kurilsk,50.68,156.12,44.1,80,48,12.46,RU,1604023871
138,tiksi,71.69,128.87,9.86,95,98,5.46,RU,1604023836
139,grindavik,63.84,-22.43,39.2,93,90,12.75,IS,1604024002
140,hithadhoo,-0.6,73.08,82.9,77,64,11.48,MV,1604023821
141,san antonio,29.42,-98.49,59.0,54,1,6.93,US,1604023753
142,itoman,26.12,127.67,77.0,65,75,20.8,JP,1604023679
143,roura,4.73,-52.33,82.4,83,20,5.82,GF,1604024003
144,virginia beach,36.85,-75.98,79.0,82,93,1.01,US,1604023844
145,lebu,-37.62,-73.65,52.34,83,71,17.74,CL,1604023849
146,hohhot,40.81,111.65,39.2,35,0,2.24,CN,1604024003
147,esperance,-33.87,121.9,66.2,42,100,12.75,AU,1604023852
148,mount gambier,-37.83,140.77,62.6,63,75,12.75,AU,1604023841
149,hasaki,35.73,140.83,59.0,54,75,8.05,JP,1604024003
150,kathmandu,27.72,85.32,55.4,93,20,2.24,NP,1604023627
151,tuatapere,-46.13,167.68,61.0,91,100,3.0,NZ,1604023806
152,manta,-0.95,-80.73,75.2,83,90,5.82,EC,1604023885
153,altay,47.87,88.12,23.54,86,71,3.51,CN,1604024004
154,avera,33.19,-82.53,77.0,78,40,16.11,US,1604023853
155,daru,-9.08,143.21,83.79,68,25,7.96,PG,1604023816
156,chapais,49.78,-74.85,12.4,97,0,4.92,CA,1604024004
157,arraial do cabo,-22.97,-42.03,75.02,94,96,3.87,BR,1604023740
158,weligama,5.97,80.42,79.7,77,100,5.14,LK,1604024004
159,katsuura,35.13,140.3,64.0,51,75,12.75,JP,1604024005
160,ponta do sol,32.67,-17.1,69.8,64,20,8.05,PT,1604023553
161,yangambi,0.81,24.43,68.09,99,100,0.81,CD,1604024005
162,dryden,49.78,-92.75,20.07,91,0,3.0,CA,1604024005
163,jati,24.35,68.27,74.1,56,0,7.02,PK,1604024005
164,mahebourg,-20.41,57.7,66.99,66,17,5.99,MU,1604023824
165,vaitape,-16.52,-151.75,81.1,77,0,9.89,PF,1604023827
166,vila,42.03,-8.16,57.0,100,75,8.05,PT,1604024006
167,anadyr,64.75,177.48,12.2,85,0,4.47,RU,1604023838
168,ixtapa,20.7,-105.2,82.4,74,5,4.7,MX,1604024006
169,lorengau,-2.02,147.27,84.15,74,100,9.37,PG,1604023848
170,lasa,46.62,10.7,45.0,93,5,5.82,IT,1604023823
171,kimberley,-28.73,24.76,62.6,82,13,3.36,ZA,1604024006
172,slupsk,54.46,17.03,47.52,89,69,10.16,PL,1604024007
173,samarai,-10.62,150.67,81.79,77,41,9.82,PG,1604024007
174,pangnirtung,66.15,-65.71,6.08,83,56,3.74,CA,1604024007
175,portland,45.52,-122.68,55.4,82,1,4.7,US,1604023500
176,klaksvik,62.23,-6.59,48.2,93,100,32.21,FO,1604023566
177,kaeo,-35.1,173.78,68.0,73,100,8.01,NZ,1604023829
178,salinas,36.68,-121.66,62.6,67,1,9.17,US,1604023945
179,lavrentiya,65.58,-171.0,25.18,88,0,3.89,RU,1604023842
180,soe,-9.86,124.28,86.2,41,60,5.3,ID,1604024008
181,lagos,6.58,3.75,76.32,92,100,1.83,NG,1604024008
182,kolokani,13.57,-8.03,74.97,20,35,4.76,ML,1604024008
183,micheweni,-4.97,39.83,77.07,85,97,13.65,TZ,1604024008
184,kahului,20.89,-156.47,87.8,55,75,8.05,US,1604023766
185,cherskiy,68.75,161.3,7.81,93,100,3.49,RU,1604023851
186,ayagoz,47.97,80.44,29.17,95,98,18.48,KZ,1604024008
187,menongue,-14.66,17.69,66.47,73,64,3.09,AO,1604024009
188,geraldton,-28.77,114.6,93.2,28,0,8.05,AU,1604023845
189,port hedland,-20.32,118.57,95.0,32,0,8.05,AU,1604024009
190,coos bay,43.37,-124.22,59.0,87,1,8.05,US,1604024009
191,perth,-31.93,115.83,88.0,21,0,16.11,AU,1604023988
192,naze,28.37,129.48,77.0,53,40,12.75,JP,1604023886
193,bathsheba,13.22,-59.52,80.6,88,40,23.04,BB,1604024009
194,georgetown,5.41,100.34,84.2,79,20,5.82,MY,1604023830
195,port blair,11.67,92.75,82.92,77,58,9.57,IN,1604024010
196,port elizabeth,-33.92,25.57,55.4,82,0,10.29,ZA,1604023849
197,great falls,47.5,-111.3,50.0,53,40,10.29,US,1604023950
198,touros,-5.2,-35.46,77.0,83,40,3.36,BR,1604023602
199,binga,-17.62,27.34,74.8,51,0,2.95,ZW,1604024010
200,san quintin,30.48,-115.95,50.0,24,0,3.0,MX,1604023875
201,oriximina,-1.77,-55.87,81.09,71,17,3.24,BR,1604024010
202,hambantota,6.12,81.12,80.2,75,100,4.81,LK,1604023855
203,curaca,-8.99,-39.91,79.59,60,90,21.14,BR,1604024011
204,estelle,29.85,-90.11,61.0,62,0,1.99,US,1604023924
205,aklavik,68.22,-135.01,9.23,92,35,6.71,CA,1604023830
